ano,municipio,produto,variavel,valor
0,Canutama - AM,Área colhida,2020,327.0
0,Carauari - AM,Quantidade produzida,2020,
0,Carauari - AM,Valor da produção,2020,19386.0
0,Carauari - AM,Área colhida,2020,1333.0
0,Careiro - AM,Quantidade produzida,2020,
0,Careiro - AM,Valor da produção,2020,14369.0
0,Careiro - AM,Área colhida,2020,913.0
0,Careiro da Várzea - AM,Quantidade produzida,2020,
0,Careiro da Várzea - AM,Valor da produção,2020,14201.0
0,Careiro da Várzea - AM,Área colhida,2020,770.0
0,Coari - AM,Quantidade produzida,2020,
0,Coari - AM,Valor da produção,2020,12461.0
0,Coari - AM,Área colhida,2020,1197.0
0,Codajás - AM,Quantidade produzida,2020,
0,Codajás - AM,Valor da produção,2020,11670.0
0,Codajás - AM,Área colhida,2020,950.0
0,Eirunepé - AM,Quantidade produzida,2020,
0,Eirunepé - AM,Valor da produção,2020,12537.0
0,Eirunepé - AM,Área colhida,2020,2095.0
0,Envira - AM,Quantidade produzida,2020,
0,Envira - AM,Valor da produção,2020,7971.0
0,Envira - AM,Área colhida,2020,888.0
0,Fonte Boa - AM,Quantidade produzida,2020,
0,Fonte Boa - AM,Valor da produção,2020,2340.0
0,Fonte Boa - AM,Área colhida,2020,181.0
0,Guajará - AM,Quantidade produzida,2020,
0,Guajará - AM,Valor da produção,2020,10372.0
0,Guajará - AM,Área colhida,2020,903.0
0,Humaitá - AM,Quantidade produzida,2020,
0,Humaitá - AM,Valor da produção,2020,59461.0
0,Humaitá - AM,Área colhida,2020,6923.0
0,Ipixuna - AM,Quantidade produzida,2020,
0,Ipixuna - AM,Valor da produção,2020,4441.0
0,Ipixuna - AM,Área colhida,2020,454.0
0,Iranduba - AM,Quantidade produzida,2020,
0,Iranduba - AM,Valor da produção,2020,3846.0
0,Iranduba - AM,Área colhida,2020,241.0
0,Itacoatiara - AM,Quantidade produzida,2020,
0,Itacoatiara - AM,Valor da produção,2020,112329.0
0,Itacoatiara - AM,Área colhida,2020,3123.0
0,Itamarati - AM,Quantidade produzida,2020,
0,Itamarati - AM,Valor da produção,2020,3153.0
0,Itamarati - AM,Área colhida,2020,250.0
0,Itapiranga - AM,Quantidade produzida,2020,
0,Itapiranga - AM,Valor da produção,2020,10887.0
0,Itapiranga - AM,Área colhida,2020,630.0
0,Japurá - AM,Quantidade produzida,2020,
0,Japurá - AM,Valor da produção,2020,3771.0
0,Japurá - AM,Área colhida,2020,323.0
0,Juruá - AM,Quantidade produzida,2020,
0,Juruá - AM,Valor da produção,2020,1172.0
0,Juruá - AM,Área colhida,2020,110.0
0,Jutaí - AM,Quantidade produzida,2020,
