ano,municipio,valor_r,area_ha
2020,Aparecida de Goiânia - GO,439.0,95.0
2020,Aparecida do Rio Doce - GO,5072.0,1200.0
2020,Aparecida do Rio Negro - TO,192304.0,48331.0
2020,Aparecida do Taboado - MS,126905.0,25331.0
2020,Aperibé - RJ,538.0,27.0
2020,Apiacá - ES,768.0,71.0
2020,Apiacás - MT,423.0,31.0
2020,Apiaí - SP,66422.0,6622.0
2020,Apicum-Açu - MA,1079.0,507.0
2020,Apiúna - SC,8814.0,893.0
2020,Apodi - RN,42017.0,3370.0
2020,Aporá - BA,5063.0,2644.0
2020,Aporé - GO,146048.0,26700.0
2020,Apuarema - BA,268.0,101.0
2020,Apucarana - PR,184972.0,38863.0
2020,Apuiarés - CE,4937.0,4049.0
2020,Apuí - AM,10813.0,1299.0
2020,Aquidabã - SE,8985.0,743.0
2020,Aquidauana - MS,3972.0,360.0
2020,Aquiraz - CE,4665.0,975.0
2020,Arabutã - SC,5671.0,1058.0
2020,Aracati - CE,26714.0,3680.0
2020,Aracatu - BA,12857.0,2430.0
2020,Araci - BA,10959.0,6150.0
2020,Aracitaba - MG,571.0,126.0
2020,Aracoiaba - CE,9219.0,6694.0
2020,Aracruz - ES,10457.0,550.0
2020,Aragarças - GO,4657.0,930.0
2020,Aragoiânia - GO,2470.0,585.0
2020,Aragominas - TO,3554.0,1415.0
2020,Araguacema - TO,216247.0,30130.0
2020,Araguaiana - MT,21897.0,4229.0
2020,Araguainha - MT,3496.0,785.0
2020,Araguanã - MA,603.0,495.0
2020,Araguanã - TO,58.0,21.0
2020,Araguapaz - GO,6991.0,1425.0
2020,Araguari - MG,361912.0,53866.0
2020,Araguatins - TO,7445.0,1185.0
2020,Araguaçu - TO,74075.0,15792.0
2020,Araguaína - TO,23070.0,8188.0
2020,Araioses - MA,2032.0,1397.0
2020,Aral Moreira - MS,1011590.0,200860.0
2020,Aramari - BA,1347.0,511.0
2020,Arambaré - RS,137094.0,22436.0
2020,Arame - MA,4952.0,3585.0
2020,Aramina - SP,96528.0,14263.0
2020,Arandu - SP,107778.0,14800.0
2020,Arantina - MG,532.0,76.0
2020,Arapeí - SP,442.0,99.0
2020,Arapiraca - AL,53134.0,10081.0
2020,Arapoema - TO,3661.0,1096.0
2020,Araponga - MG,3196.0,1048.0
2020,Arapongas - PR,174625.0,36882.0
2020,Araporã - MG,121445.0,13367.0
2020,Arapoti - PR,310800.0,61527.0
2020,Araputanga - MT,5728.0,1095.0
2020,Arapuá - MG,1711.0,215.0
2020,Arapuã - PR,101537.0,22405.0
2020,Araquari - SC,18108.0,2422.0
2020,Arara - PB,2235.0,3010.0
2020,Araranguá - SC,80571.0,8737.0
2020,Araraquara - SP,242257.0,41050.0
2020,Araras - SP,262101.0,43350.0
2020,Ararendá - CE,2924.0,2143.0
2020,Arari - MA,12701.0,3379.0
2020,Araricá - RS,383.0,48.0
2020,Araripe - CE,19621.0,8468.0
2020,Araripina - PE,23543.0,14400.0
2020,Araruama - RJ,13182.0,3517.0
2020,Araruna - PB,3456.0,3501.0
2020,Araruna - PR,239629.0,41691.0
2020,Arataca - BA,19.0,10.0
2020,Aratiba - RS,18672.0,4303.0
2020,Aratuba - CE,25508.0,3395.0
2020,Aratuípe - BA,4918.0,782.0
2020,Araucária - PR,218698.0,30361.0
2020,Arauá - SE,3227.0,499.0
2020,Araxá - MG,133818.0,21841.0
2020,Araçagi - PB,67655.0,4540.0
2020,Araçariguama - SP,781.0,166.0
2020,Araçatuba - SP,274410.0,48319.0
2020,Araçaí - MG,280.0,45.0
2020,Araçoiaba - PE,18593.0,2941.0
2020,Araçoiaba da Serra - SP,19531.0,3237.0
2020,Araçu - GO,5441.0,1338.0
2020,Araçuaí - MG,3442.0,1514.0
2020,Araçás - BA,1346.0,370.0
2020,Araújos - MG,2640.0,446.0
2020,Arceburgo - MG,6970.0,1319.0
2020,Arco-Íris - SP,77168.0,6555.0
2020,Arcos - MG,40009.0,7501.0
2020,Arcoverde - PE,1350.0,767.0
2020,Areado - MG,25145.0,4397.0
2020,Areal - RJ,123.0,6.0
2020,Arealva - SP,82070.0,13322.0
2020,Areia - PB,6471.0,2160.0
2020,Areia Branca - RN,525.0,330.0
2020,Areia Branca - SE,9555.0,1708.0
2020,Areia de Baraúnas - PB,291.0,279.0
2020,Areial - PB,2493.0,1530.0
2020,Areias - SP,635.0,129.0
2020,Areiópolis - SP,47353.0,8030.0
2020,Arenápolis - MT,22305.0,5605.0
2020,Arenópolis - GO,37902.0,8535.0
2020,Argirita - MG,135.0,37.0
2020,Aricanduva - MG,2405.0,973.0
2020,Arinos - MG,75264.0,14718.0
2020,Aripuanã - MT,30573.0,6752.0
2020,Ariquemes - RO,43522.0,10126.0
2020,Ariranha - SP,48397.0,8860.0
2020,Ariranha do Ivaí - PR,125245.0,26926.0
2020,Armazém - SC,9451.0,763.0
2020,Armação dos Búzios - RJ,48.0,2.0
2020,Arneiroz - CE,2812.0,3480.0
2020,Aroazes - PI,2024.0,1125.0
2020,Aroeiras - PB,803.0,1094.0
2020,Aroeiras do Itaim - PI,3967.0,3720.0
2020,Arraial - PI,1653.0,1189.0
2020,Arraias - TO,6361.0,1060.0
2020,Arroio Grande - RS,390450.0,76800.0
2020,Arroio Trinta - SC,9457.0,1819.0
2020,Arroio do Meio - RS,10121.0,2744.0
2020,Arroio do Padre - RS,24833.0,2355.0
2020,Arroio do Sal - RS,1730.0,114.0
2020,Arroio do Tigre - RS,105491.0,18954.0
2020,Arroio dos Ratos - RS,9100.0,4914.0
2020,Artur Nogueira - SP,45815.0,6731.0
2020,Aruanã - GO,31691.0,6980.0
2020,Arvoredo - SC,2444.0,638.0
2020,Arvorezinha - RS,28327.0,4498.0
2020,Arês - RN,43479.0,5102.0
2020,Ascurra - SC,3613.0,622.0
2020,Aspásia - SP,7136.0,947.0
2020,Assaré - CE,20036.0,7584.0
2020,Assaí - PR,205139.0,44239.0
2020,Assis - SP,127909.0,27884.0
2020,Assis Brasil - AC,5519.0,1391.0
2020,Assis Chateaubriand - PR,627919.0,143929.0
2020,Assunção - PB,676.0,532.0
2020,Assunção do Piauí - PI,1104.0,2185.0
2020,Astolfo Dutra - MG,878.0,73.0
2020,Astorga - PR,255885.0,48883.0
2020,Atalaia - AL,47590.0,13258.0
2020,Atalaia - PR,73218.0,14885.0
2020,Atalaia do Norte - AM,7010.0,355.0
2020,Atalanta - SC,32081.0,2972.0
2020,Ataléia - MG,999.0,229.0
2020,Atibaia - SP,11900.0,2619.0
2020,Atílio Vivácqua - ES,608.0,41.0
2020,Augustinópolis - TO,917.0,240.0
2020,Augusto Corrêa - PA,12437.0,2101.0
2020,Augusto Pestana - RS,68165.0,30209.0
2020,Augusto de Lima - MG,6665.0,952.0
2020,Aurelino Leal - BA,454.0,105.0
2020,Auriflama - SP,41050.0,8008.0
2020,Aurilândia - GO,3.0,5.0
2020,Aurora - CE,3338.0,3096.0
2020,Aurora - SC,96528.0,4953.0
2020,Aurora do Pará - PA,14229.0,2322.0
2020,Aurora do Tocantins - TO,1913.0,232.0
2020,Autazes - AM,55021.0,5077.0
