ano,municipio,produto,2020,2021,2022
0,Amparo - PB,Valor da produção,556.0,698.0,164.0
0,Amparo - PB,Área colhida,703.0,305.0,202.0
0,Amparo - SP,Valor da produção,15042.0,26574.0,27611.0
0,Amparo - SP,Área colhida,2901.0,2894.0,2901.0
0,Amparo do Serra - MG,Valor da produção,2778.0,4658.0,5364.0
0,Amparo do Serra - MG,Área colhida,598.0,617.0,704.0
0,Amparo do São Francisco - SE,Valor da produção,537.0,1248.0,861.0
0,Amparo do São Francisco - SE,Área colhida,159.0,188.0,272.0
0,Ampére - PR,Valor da produção,68494.0,116914.0,52580.0
0,Ampére - PR,Área colhida,14481.0,14775.0,16435.0
0,Amélia Rodrigues - BA,Valor da produção,811.0,916.0,984.0
0,Amélia Rodrigues - BA,Área colhida,161.0,160.0,146.0
0,América Dourada - BA,Valor da produção,55212.0,60139.0,63791.0
0,América Dourada - BA,Área colhida,5774.0,5872.0,5227.0
0,Américo Brasiliense - SP,Valor da produção,49953.0,75325.0,93014.0
0,Américo Brasiliense - SP,Área colhida,8550.0,8600.0,8750.0
0,Américo de Campos - SP,Valor da produção,42474.0,67955.0,87224.0
0,Américo de Campos - SP,Área colhida,8036.0,8996.0,8945.0
0,Anadia - AL,Valor da produção,37319.0,35208.0,37027.0
0,Anadia - AL,Área colhida,8295.0,4842.0,4692.0
0,Anagé - BA,Valor da produção,873.0,1183.0,1245.0
0,Anagé - BA,Área colhida,1123.0,1301.0,1374.0
0,Anahy - PR,Valor da produção,73436.0,73676.0,61047.0
0,Anahy - PR,Área colhida,14305.0,10603.0,10572.0
0,Anajatuba - MA,Valor da produção,1332.0,1596.0,1782.0
0,Anajatuba - MA,Área colhida,769.0,778.0,788.0
0,Anajás - PA,Valor da produção,2250.0,2645.0,1733.0
0,Anajás - PA,Área colhida,324.0,380.0,156.0
0,Analândia - SP,Valor da produção,65586.0,96801.0,110209.0
0,Analândia - SP,Área colhida,10680.0,9680.0,9640.0
0,Anamã - AM,Valor da produção,2988.0,1490.0,1677.0
0,Anamã - AM,Área colhida,400.0,198.0,245.0
0,Ananás - TO,Valor da produção,8278.0,9659.0,3514.0
0,Ananás - TO,Área colhida,1044.0,1044.0,568.0
0,Anapu - PA,Valor da produção,6772.0,10340.0,17706.0
0,Anapu - PA,Área colhida,1415.0,1558.0,1949.0
0,Anapurus - MA,Valor da produção,41376.0,45757.0,40251.0
0,Anapurus - MA,Área colhida,10015.0,9825.0,9243.0
0,Anastácio - MS,Valor da produção,61799.0,116205.0,202941.0
0,Anastácio - MS,Área colhida,14058.0,18024.0,29520.0
0,Anaurilândia - MS,Valor da produção,118663.0,242569.0,202112.0
0,Anaurilândia - MS,Área colhida,30380.0,34645.0,44351.0
0,Anchieta - ES,Valor da produção,593.0,1759.0,302.0
0,Anchieta - ES,Área colhida,129.0,128.0,50.0
0,Anchieta - SC,Valor da produção,11368.0,12743.0,14803.0
0,Anchieta - SC,Área colhida,2249.0,2230.0,1794.0
0,Andaraí - BA,Valor da produção,3272.0,3334.0,7938.0
0,Andaraí - BA,Área colhida,957.0,327.0,1456.0
0,Andirá - PR,Valor da produção,179338.0,187870.0,271896.0
0,Andirá - PR,Área colhida,31869.0,33878.0,29466.0
0,Andorinha - BA,Valor da produção,320.0,293.0,289.0
0,Andorinha - BA,Área colhida,2187.0,2354.0,2152.0
0,Andradas - MG,Valor da produção,21522.0,32962.0,47080.0
0,Andradas - MG,Área colhida,2283.0,2425.0,2676.0
0,Andradina - SP,Valor da produção,269881.0,324751.0,324294.0
0,Andradina - SP,Área colhida,42129.0,42129.0,42129.0
0,Andrelândia - MG,Valor da produção,29493.0,48728.0,50076.0
0,Andrelândia - MG,Área colhida,4551.0,4693.0,4097.0
0,André da Rocha - RS,Valor da produção,51512.0,191032.0,94807.0
0,André da Rocha - RS,Área colhida,21295.0,22605.0,20925.0
0,Angatuba - SP,Valor da produção,108665.0,172898.0,249665.0
0,Angatuba - SP,Área colhida,16142.0,17066.0,19932.0
0,Angelim - PE,Valor da produção,2314.0,3461.0,1446.0
0,Angelim - PE,Área colhida,1083.0,1100.0,915.0
0,Angelina - SC,Valor da produção,31491.0,42861.0,46471.0
0,Angelina - SC,Área colhida,2016.0,1971.0,2052.0
0,Angelândia - MG,Valor da produção,1687.0,3553.0,3317.0
0,Angelândia - MG,Área colhida,627.0,760.0,757.0
0,Angical - BA,Valor da produção,8811.0,15908.0,18815.0
0,Angical - BA,Área colhida,2917.0,3616.0,3030.0
0,Angical do Piauí - PI,Valor da produção,1321.0,1913.0,2587.0
0,Angical do Piauí - PI,Área colhida,919.0,942.0,849.0
0,Angico - TO,Valor da produção,4456.0,4869.0,4862.0
0,Angico - TO,Área colhida,538.0,610.0,610.0
0,Angicos - RN,Valor da produção,100.0,,857.0
0,Angicos - RN,Área colhida,260.0,,360.0
0,Angra dos Reis - RJ,Valor da produção,1452.0,1260.0,795.0
0,Angra dos Reis - RJ,Área colhida,106.0,41.0,40.0
0,Anguera - BA,Valor da produção,508.0,523.0,499.0
0,Anguera - BA,Área colhida,1200.0,1224.0,1212.0
0,Angélica - MS,Valor da produção,389832.0,514464.0,625549.0
0,Angélica - MS,Área colhida,55924.0,66675.0,78795.0
0,Anhanguera - GO,Valor da produção,1107.0,60.0,72.0
0,Anhanguera - GO,Área colhida,205.0,5.0,5.0
